US20010020245,Method and system for deterministic ordering of software modules,网站链接,,others,,,是,消息通知,
US20010037336,Incremental garbage collection,网站链接,,others,,,是,远程协助,
US20010047438,Recoverable methods and systems for processing input/output requests including virtual memory addresses,网站链接,,安装和启动,安装,配置,是,,
US20020027569,Generic user control point tool for universal plug and play (UPnP) devices,网站链接,,安装和启动,安装,配置,是,,
US20020052977,Method and apparatus for adapting and hosting legacy user interface     controls,网站链接,,安装和启动,安装,配置,是,building a target computer operating system,
US20020052978,Method and apparatus for providing and integrating high-performance message queues in a user interface environment,网站链接,,安装和启动,安装,配置,是,,
US20020055965,Method and system for accessing objects of different thread types,网站链接,,安装和启动,安装,配置,是,building a target computer operating system,
US20020073403,System and method for whole-system program analysis,网站链接,,安装和启动,安装,配置,是,,
US20020075309,Selection paradigm for displayed user interface,网站链接,,安装和启动,安装,配置,是,,
US20020075327,Method and apparatus for high-performance rendering and hit-testing of a window tree,网站链接,,安装和启动,安装,配置,是,,
US20020095453,Thread-specific heaps,网站链接,,安装和启动,安装,生成,是,,
US20020101441,Input device with pattern and tactile feedback for computer input and control,网站链接,,安装和启动,启动,others,是,注册表,
US20020101457,Bezel interface for small computing devices,网站链接,,安装和启动,启动,处理器初始化,是,,
US20020101458,Navigational interface for mobile and wearable computers,网站链接,,安装和启动,启动,处理器初始化,是,dynamically switching the endian-ness of a process,
US20020108102,Method and apparatus for accessing instrumentation data from within a managed code environment,网站链接,,安装和启动,启动,加载操作系统,是,,
US20020111929,Concurrent data recall in a hierarchical storage environment using plural     queues,网站链接,,安装和启动,启动,加载操作系统,是,客户端启动域和启动规则,
US20020133487,System and method for unloading namespace devices,网站链接,,安装和启动,启动,加载操作系统,是,选择配置进入操作系统,
US20020147853,System and method for managing a serial port,网站链接,,安装和启动,启动,加载设备驱动,是,,
US20020152380,Methods and systems for unilateral authentication of messages,网站链接,,安装和启动,启动,配置外围设备,是,外围设备保护和计算机系统交互,
US20020152384,Methods and systems for unilateral authentication of messages,网站链接,,安装和启动,启动,配置外围设备,是,,
US20020169999,Placing exception throwing instructions in compiled code,网站链接,,安装和启动,启动,其他,是,,
US20020174302,System and method for managing storage space of a cache,网站链接,,安装和启动,启动,其他,是,允许代码被安全的在计算机中进行初始化的系统和方法,
US20020184521,Authorizing a requesting entity to operate upon data structures,网站链接,,安装和启动,启动,重启动,是,,
US20020188815,System and method for mirroring memory,网站链接,,安装和启动,设备管理,网络协议,是,VPN注册协议网关,
US20020191022,Hosting controls in a window via an interface for controlling the window,网站链接,,安装和启动,休眠、睡眠、待机、唤醒,唤醒,是,,
US20020191027,Dynamic resizing of dialogs,网站链接,,安装和启动,休眠、睡眠、待机、唤醒,唤醒,是,,
US20020194164,Answer wizard drop-down control,网站链接,,安装和启动,休眠、睡眠、待机、唤醒,唤醒,是,,
US20020199020,Method and system for resolving names on a network gateway having multiple     distinct network interfaces,网站链接,,安装和启动,休眠、睡眠、待机、唤醒,休眠,是,,
US20030028736,System and method for backing up and restoring data,网站链接,,安装和启动,休眠、睡眠、待机、唤醒,休眠,是,计算机系统的休眠,
US20030056069,Buffering data in a hierarchical data storage environment,网站链接,,操作系统内核,others,,是,操作系统处理事件的日志,
US20030056094,Peer-to-peer name resolution protocol (PNRP) security infrastructure and     method,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030065676,Methods and system of managing concurrent access to multiple resources,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030069905,Method and system for concurrent garbage collection,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030071850,In-place adaptive handwriting input method and system,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030074356,Scoped access control metadata element,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030074386,Method and system for migrating computer state,网站链接,,操作系统内核,存储管理,二级存储,是,,分布式系统
US20030079146,Method and apparatus for regulating access to a computer via a computer     network,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030081002,Method and system for chaining and extending wizards,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030084276,Method and system for obtaining computer shutdown information,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030088588,Transaction Coordination including time contracts,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030088770,Method for advance negotiation of computer settings,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030110416,Methods and systems for creating and communicating with computer processes,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030131147,Systems and methods for managing drivers in a computing system,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030140179,Methods and system for managing computational resources of a coprocessor in a computing system,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030156145,Ink gestures,网站链接,,操作系统内核,存储管理,二级存储,是,,
US20030182443,System and method for protecting privacy and anonymity of parties of     network communications,网站链接,,操作系统内核,存储管理,缓存,是,,
US20030187914,Symmetrical multiprocessing in multiprocessor systems,网站链接,,操作系统内核,存储管理,缓存,是,缓存存储数据结构和内存管理,
